0	17, 71, 69, 55, 37, 57
1	71, 57
2	56, 42, 60
3	51, 67, 33, 65, 23
4	32, 95, 73, 94
5	91, 79, 81
6	54, 16
7	74
8	88, 50
9	96, 32, 63, 48
10	97, 93, 39
11	
12	68, 82, 92, 29, 15
13	45
14	84, 86, 42, 60, 28, 85
15	12, 99, 29
16	41, 6, 34, 87, 54
17	69, 87, 0, 54
18	27, 26
19	72
20	47, 49, 31, 89, 33
21	90, 40, 24, 83
22	43, 44, 36, 61
23	3, 72, 51, 67, 65
24	80, 40, 41, 34, 21
25	59
26	18, 52
27	18, 98, 99
28	58, 56, 86, 14
29	12, 98, 99, 15
30	70
31	47, 52, 20, 49, 60, 89
32	96, 9, 63, 4
33	3, 20, 49
34	41, 24, 77, 16
35	43, 44, 36, 61, 66
36	43, 44, 35, 61, 22
37	55, 0, 57
38	
39	97, 93, 10, 61
40	90, 21, 24, 83
41	34, 24, 77, 16
42	84, 14, 60, 2, 85
43	93, 44, 35, 36, 61, 22
44	43, 82, 35, 36, 61, 22
45	13, 48
46	91, 66
47	20, 60, 31, 89
48	45, 96, 9
49	20, 31, 33
50	58, 56, 8, 88
51	3, 67, 65, 23
52	31, 26
53	
54	17, 6, 87, 16
55	71, 69, 0, 37, 57
56	58, 88, 50, 28, 2
57	71, 1, 55, 0, 37
58	56, 86, 88, 50, 28
59	25, 76
60	47, 14, 42, 31, 89, 2, 85
61	43, 93, 44, 35, 36, 39, 22
62	80
63	96, 9, 32
64	78
65	3, 72, 51, 67, 23
66	46, 35
67	3, 51, 65, 23
68	12, 82, 92
69	17, 55, 0
70	77, 30
71	1, 55, 0, 57
72	78, 19, 65, 23
73	95, 4, 94
74	7, 87
75	98, 92
76	59
77	70, 41, 34
78	64, 72
79	91, 5
80	62, 24
81	84, 91, 5
82	12, 68, 44, 92
83	90, 40, 21
84	14, 42, 81, 85
85	84, 14, 42, 60
86	58, 14, 28
87	17, 74, 54, 16
88	58, 56, 8, 50
89	47, 20, 60, 31
90	40, 21, 83
91	46, 79, 5, 81
92	12, 75, 68, 82
93	43, 97, 10, 61, 39
94	95, 73, 4
95	73, 4, 94
96	9, 32, 63, 48
97	93, 10, 39
98	75, 99, 27, 29
99	98, 27, 29, 15
