0	17, 71, 69, 55, 37, 57
1	71, 57
2	60
3	
4	32, 95, 73, 94
5	91, 79
6	54, 16
7	
8	
9	63
10	93
11	
12	68, 82, 92, 29, 15
13	45
14	60
15	12, 99, 29
16	41, 6, 87, 34, 54
17	69, 87, 0, 54
18	27
19	
20	
21	90, 40, 24, 83
22	44, 61
23	
24	80, 41, 40, 34, 21
25	
26	
27	18, 98, 99
28	
29	12, 98, 99, 15
30	
31	
32	63, 4
33	
34	41, 24, 77, 16
35	43, 44, 36, 61, 66
36	44, 35, 61
37	55, 0, 57
38	
39	93, 61
40	90, 21, 24, 83
41	34, 24, 16
42	60
43	93, 44, 35, 61
44	43, 82, 35, 36, 61, 22
45	13, 48
46	91, 66
47	
48	45
49	
50	
51	
52	
53	
54	17, 6, 87, 16
55	71, 69, 0, 37, 57
56	
57	71, 1, 55, 0, 37
58	
59	76
60	14, 42, 2, 85
61	43, 93, 44, 35, 36, 39, 22
62	80
63	96, 9, 32
64	78
65	
66	46, 35
67	
68	12, 82
69	17, 55, 0
70	
71	1, 55, 0, 57
72	78
73	95, 4, 94
74	87
75	98
76	59
77	34
78	64, 72
79	91, 5
80	62, 24
81	84
82	12, 68, 44, 92
83	90, 40, 21
84	81
85	60
86	
87	17, 74, 54, 16
88	
89	
90	40, 21, 83
91	46, 79, 5
92	12, 82
93	43, 10, 61, 39
94	95, 73, 4
95	73, 4, 94
96	63
97	
98	75, 99, 27, 29
99	98, 27, 29, 15
